time,pair,direction,entry,sl,tp,risk_pct,volume,risk_amt,result,exit_price,exit_time,bars_held,pnl,balance,reason,score,_bar_idx
2010-10-01 00:00:00,XAU/USD,BUY,1295.7,1270.5,1319.903363,1.0,0.01,100.0,win,1319.903363,2010-10-01 00:00:00,5,96.05,10096.05,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,158
2010-10-11 00:00:00,XAU/USD,BUY,1348.5,1280.8,1378.296725,1.0,0.01,100.96,be,1348.5,2010-10-11 00:00:00,3,0.0,10096.05,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,164
2010-11-12 00:00:00,XAU/USD,BUY,1392.9,1325.1,1508.16,1.0,0.01,100.96,be,1392.9,2010-11-12 00:00:00,5,0.0,10096.05,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,188
2010-11-12 00:00:00,XAU/USD,BUY,1407.9,1325.1,1460.580749,1.0,0.01,100.96,be,1407.9,2010-11-12 00:00:00,1,0.0,10096.05,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,188
2010-11-23 00:00:00,XAU/USD,BUY,1335.5,1314.5,1371.2,1.0,0.01,100.96,win,1371.2,2010-11-23 00:00:00,4,171.63,10267.68,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,195
2010-02-01 08:00:00,USD/JPY,SELL,90.269,91.35,89.612799,1.0,0.04,100.0,be,90.269,2010-02-01 08:00:00,5,0.0,10000.0,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,127
2010-02-03 08:00:00,USD/JPY,SELL,90.763,91.868,90.194267,1.0,0.04,100.0,win,90.194267,2010-02-03 08:00:00,9,51.47,10051.47,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,139
2010-03-03 08:00:00,USD/JPY,SELL,88.698,89.37,88.251954,2.0,0.13,201.03,be,88.698,2010-03-03 08:00:00,2,0.0,10051.47,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,263
2010-03-04 00:00:00,USD/JPY,SELL,88.585,88.989,88.117394,2.0,0.22,201.03,be,88.585,2010-03-04 00:00:00,1,0.0,10051.47,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,267
2010-03-04 16:00:00,USD/JPY,SELL,88.949,89.37,88.374917,2.0,0.21,201.03,be,88.949,2010-03-04 16:00:00,1,0.0,10051.47,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,271
2010-03-05 12:00:00,USD/JPY,SELL,89.37,90.309,88.889617,2.0,0.09,201.03,loss,90.309,2010-03-05 12:00:00,2,-201.03,9850.44,Полный сетап (4/4): D1=Y | H4=Y | COT=Y | Trend=Y,4,276
